,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
221,61.448081,-98.687097,61.445142,-100.46840600000002,33.277484,-98.907803,33.271787,-99.96476899999999,Selenographic,Equatorial
222,-29.977383,-17.393406000000027,-29.976218,-18.155423999999982,0.1547,-17.483295999999996,0.155589,-18.096697000000006,Selenographic,Equatorial
223,59.435745,49.726343,59.33684,48.033289,46.29594,50.024666,46.20228,48.730992,Selenographic,Equatorial
224,-73.333527,-66.532286,-73.383267,-69.50867499999998,-82.578858,-60.743273999999985,-82.686211,-67.26913100000002,Polar,South
225,3.231128,154.357959,3.205639,155.212968,-26.652007,154.03878,-26.68061,155.026459,Selenographic,Equatorial
226,60.243505,150.885079,60.260003,152.360649,28.077137,151.246658,28.093939,152.157861,Selenographic,Equatorial
227,61.267198,-107.98455799999999,61.252349,-109.54895300000001,-28.763885,-107.27869100000001,-28.771924,-108.104423,Selenographic,Equatorial
228,-30.053721,70.147443,-30.065547,70.911551,29.930354,71.193482,29.919494,71.951887,Selenographic,Equatorial
229,-32.789524,94.27386,-32.794756,93.482904,-2.630005,94.841722,-2.638572,94.182036,Selenographic,Equatorial
230,31.297754,21.335309,31.295594,20.445233,-0.634796,21.21545,-0.636869,20.428817,Selenographic,Equatorial
